Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-07-30,23452.0,23689.0,23356.5,23480.5,525884,332.5,0.1215248166467786,True,True,23605.5,23327.25,278.25
2025-07-31,23705.0,23845.0,23290.5,23365.0,710159,554.5,-0.4918975319946339,True,True,23870.5,23580.25,290.25
2025-08-01,23322.0,23342.5,22775.0,22883.75,759306,567.5,-2.059704686496899,True,True,23487.5,23142.25,345.25
2025-08-04,22850.0,23352.5,22821.75,23296.5,463842,530.75,1.80368165182716,True,True,23020.5,22635.75,384.75
2025-08-05,23354.0,23404.25,23084.5,23132.0,536168,319.75,-0.7061146524156015,True,True,23572.25,23132.0,440.25
2025-08-06,23091.75,23445.25,23045.5,23422.75,516358,399.75,1.256916825177234,True,True,23321.25,22870.5,450.75
2025-08-07,23418.5,23671.0,23329.0,23496.25,557017,342.0,0.3137974832160939,True,True,23658.75,23170.25,488.5
2025-08-08,23518.25,23767.75,23503.0,23713.75,447597,264.75,0.9256796297281378,True,True,23792.0,23270.0,522.0
2025-08-11,23764.0,23804.5,23587.5,23629.5,439370,217.0,-0.355279110220863,True,True,24019.25,23479.0,540.25
2025-08-12,23635.0,23953.5,23596.0,23938.0,480630,357.5,1.305571425548568,True,True,23890.25,23352.25,538.0
2025-08-13,23945.0,24068.5,23886.0,23946.5,448247,182.5,0.03550839669146377,True,True,24203.5,23662.25,541.25
2025-08-14,23927.75,24007.75,23793.25,23930.5,486540,214.5,-0.0668156097968442,True,True,24164.0,23676.75,487.25
2025-08-15,23888.75,23963.0,23734.5,23804.0,434325,228.5,-0.5286141116984555,True,True,24112.25,23705.75,406.5
2025-08-18,23795.0,23881.75,23719.0,23797.75,396240,162.75,-0.02625609141321261,True,True,23995.25,23621.25,374.0
2025-08-19,23800.75,23838.0,23426.0,23469.5,547883,412.0,-1.379332079713413,True,True,23988.25,23649.0,339.25
2025-08-20,23461.0,23485.5,23035.0,23324.0,704395,450.5,-0.6199535567438574,True,True,23634.25,23266.25,368.0
2025-08-21,23323.0,23369.25,23119.0,23219.75,518144,250.25,-0.4469645000857447,True,True,23484.25,23100.0,384.25
2025-08-22,23225.25,23650.0,23076.75,23569.75,480041,573.25,1.507337503633766,True,True,23381.75,23012.75,369.0
2025-08-25,23602.0,23616.25,23443.25,23498.25,396107,173.0,-0.3033549358817944,True,True,23805.5,23373.5,432.0
2025-08-26,23505.75,23611.0,23371.5,23591.5,437214,239.5,0.3968380624089107,True,True,23699.0,23299.25,399.75
2025-08-27,23604.0,23689.0,23434.75,23628.75,428805,254.25,0.1578958523196894,True,True,23807.0,23397.5,409.5
2025-08-28,23542.25,23803.75,23487.5,23769.0,479463,316.25,0.5935565783208974,True,True,23752.0,23335.75,416.25
2025-08-29,23760.5,23762.0,23397.5,23461.75,527285,364.5,-1.292650090453951,True,True,23971.5,23541.5,430.0
2025-09-01,23479.0,23552.5,23370.5,23502.25,87680,182.0,0.1726213943972654,True,True,23715.0,23254.0,461.0
2025-09-02,23502.25,23509.5,23025.25,23275.0,649694,484.25,-0.9669286983161163,True,True,23716.0,23291.25,424.75
2025-09-03,23382.0,23525.25,23298.25,23448.75,557401,227.0,0.7465091299677873,True,True,23595.75,23165.25,430.5
2025-09-04,23456.75,23708.75,23410.0,23668.0,475080,298.75,0.9350178580947777,True,True,23660.5,23224.5,436.0
2025-09-05,23700.0,23902.0,23505.0,23684.0,662754,397.0,0.06760182524927494,True,True,23872.75,23467.75,405.0
2025-09-08,23673.5,23888.0,23650.25,23799.75,450764,237.75,0.4887265664583751,True,True,23846.25,23390.5,455.75
2025-09-09,23799.0,23921.25,23726.0,23874.0,466247,195.25,0.3119780669964989,True,True,23971.5,23516.0,455.5
2025-09-10,23898.5,24044.25,23785.0,23877.75,510080,259.25,0.01570746418697588,True,True,24064.25,23615.5,448.75
2025-09-11,23853.75,24046.0,23838.0,24017.75,429449,208.0,0.586319900325627,True,True,24009.5,23597.25,412.25
2025-09-12,24028.25,24159.0,23969.0,24113.25,382635,190.0,0.3976225916249465,True,True,24181.75,23769.0,412.75
