20250919 030400;24713.25;24713.75;24712.5;24712.5;14
20250919 030500;24712.75;24713.25;24711.25;24713;21
20250919 030600;24713.5;24713.75;24712.5;24713.5;12
20250919 030700;24712.5;24712.5;24711.25;24711.75;13
20250919 030800;24711.75;24713.25;24711.75;24713;13
20250919 030900;24713.5;24719.5;24713.5;24719;109
20250919 031000;24719.25;24721.5;24718.25;24720.25;57
20250919 031100;24721;24728;24720.25;24727.25;164
20250919 031200;24727;24734.75;24726.25;24730.75;219
20250919 031300;24731.25;24733.75;24728.75;24730;161
20250919 031400;24730;24732.5;24729;24732.5;56
20250919 031500;24732;24735;24731.75;24733.25;92
20250919 031600;24732.75;24734.25;24731.5;24732;45
20250919 031700;24731.5;24734.5;24730;24733.5;59
20250919 031800;24734.25;24734.25;24731.5;24733.75;29
20250919 031900;24733.5;24735;24732.75;24734.25;32
20250919 032000;24733.75;24733.75;24732.25;24732.25;20
20250919 032100;24732;24732;24726.5;24730;172
20250919 032200;24729.5;24733;24727;24731;133
20250919 032300;24730.5;24734;24729.75;24733.5;45
20250919 032400;24733.5;24736;24730.25;24730.25;167
20250919 032500;24730.75;24734.5;24730.75;24734;68
20250919 032600;24734;24737.5;24733.5;24733.5;97
20250919 032700;24732.5;24732.75;24730.25;24732.25;14
20250919 032800;24731.75;24733;24731;24732.25;11
20250919 032900;24733;24733;24729.75;24733;37
20250919 033000;24733.75;24735.25;24733.25;24734;27
20250919 033100;24734.5;24736.75;24731.25;24733;49
20250919 033200;24731.75;24733.25;24729.5;24733.25;47
20250919 033300;24733;24733;24728.5;24730.5;43
20250919 033400;24730.5;24731.75;24730.5;24731.5;21
20250919 033500;24730;24731.5;24727;24727;69
20250919 033600;24726.25;24729;24718.75;24722;184
20250919 033700;24721.5;24721.75;24716.75;24716.75;102
20250919 033800;24716.5;24721;24716.5;24720;65
20250919 033900;24720;24727.75;24720;24727.75;94
20250919 034000;24728;24729;24727.5;24728;40
20250919 034100;24727;24731;24726.25;24731;36
20250919 034200;24731;24731.75;24728.75;24728.75;26
20250919 034300;24727.75;24728;24724.25;24724.25;32
20250919 034400;24724;24729.25;24724;24727.5;39
20250919 034500;24728;24728.25;24724.75;24726.25;28
20250919 034600;24725.25;24727;24724.25;24726.5;36
20250919 034700;24725;24728.5;24724.5;24728.5;26
20250919 034800;24728.5;24732.25;24715.25;24724.25;282
20250919 034900;24723.5;24723.5;24704.5;24704.5;264
20250919 035000;24705;24716.75;24703.5;24716;156
